time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
1.800, 0, Ego, -449.067, -137.495, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 2.314
1.800, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.850, 0, Ego, -449.575, -137.969, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 4.298
1.850, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.900, 0, Ego, -450.083, -138.442, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 6.282
1.900, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.950, 0, Ego, -450.591, -138.915, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.983
1.950, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.000, 0, Ego, -451.100, -139.389, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.967
2.000, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.050, 0, Ego, -451.608, -139.862, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.952
2.050, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.100, 0, Ego, -452.116, -140.335, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.653
2.100, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.150, 0, Ego, -452.624, -140.809, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.637
2.150, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.200, 0, Ego, -453.132, -141.282, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.621
2.200, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.250, 0, Ego, -453.640, -141.756, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 1.322
2.250, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.300, 0, Ego, -454.148, -142.229, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 3.306
2.300, 1, Obstacle, -512.073, -196.192, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.350, 0, Ego, -454.656, -142.702, 0.000, 3.892, 0.000, 0.000, 13.889, 0.000, 5.290
