time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
1.850, 0, Ego, -460.855, -148.477, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.362
1.850, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.900, 0, Ego, -461.668, -149.234, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.253
1.900, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.950, 0, Ego, -462.481, -149.992, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.428
1.950, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.000, 0, Ego, -463.294, -150.749, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.319
2.000, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.050, 0, Ego, -464.107, -151.506, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.494
2.050, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.100, 0, Ego, -464.920, -152.264, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.385
2.100, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.150, 0, Ego, -465.733, -153.021, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.560
2.150, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.200, 0, Ego, -466.546, -153.778, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.451
2.200, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.250, 0, Ego, -467.359, -154.536, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.626
2.250, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.300, 0, Ego, -468.172, -155.293, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.517
2.300, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.350, 0, Ego, -468.985, -156.051, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.692
2.350, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.400, 0, Ego, -469.798, -156.808, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.583
2.400, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
