time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
1.800, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.850, 0, Ego, -439.311, -128.406, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.260
1.850, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.900, 0, Ego, -440.530, -129.542, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.021
1.900, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.950, 0, Ego, -441.750, -130.678, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.500
1.950, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.000, 0, Ego, -442.969, -131.814, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.979
2.000, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.050, 0, Ego, -444.189, -132.950, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.457
2.050, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.100, 0, Ego, -445.408, -134.086, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.219
2.100, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.150, 0, Ego, -446.627, -135.223, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.698
2.150, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.200, 0, Ego, -447.847, -136.359, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.177
2.200, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.250, 0, Ego, -449.066, -137.495, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.655
2.250, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.300, 0, Ego, -450.286, -138.631, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.417
2.300, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.350, 0, Ego, -451.505, -139.767, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.896
2.350, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.400, 0, Ego, -452.725, -140.903, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.374
2.400, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.450, 0, Ego, -453.944, -142.039, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.853
2.450, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.500, 0, Ego, -455.164, -143.175, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.615
2.500, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.550, 0, Ego, -456.383, -144.311, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.094
2.550, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.600, 0, Ego, -457.603, -145.447, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.572
2.600, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.650, 0, Ego, -458.822, -146.583, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.051
2.650, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.700, 0, Ego, -460.042, -147.719, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.813
2.700, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.750, 0, Ego, -461.261, -148.855, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.292
2.750, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.800, 0, Ego, -462.481, -149.991, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.770
2.800, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.850, 0, Ego, -463.700, -151.127, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.249
2.850, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.900, 0, Ego, -464.919, -152.263, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 6.011
2.900, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.950, 0, Ego, -466.139, -153.399, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.489
2.950, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.000, 0, Ego, -467.358, -154.535, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.968
3.000, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.050, 0, Ego, -468.578, -155.671, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.447
3.050, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.100, 0, Ego, -469.797, -156.808, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 6.209
3.100, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.150, 0, Ego, -471.017, -157.944, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.687
3.150, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.200, 0, Ego, -472.236, -159.080, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.166
3.200, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.250, 0, Ego, -473.456, -160.216, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.645
